nr,osoba,werdykt,connection,post,comment
11,Agnieszka Zagórska,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) Cztery rekordy PKW istnieja (roczniki 1963-1975), zaden z lat 80.","Czlonkini rady nadzorczej ZWIK PRUDNIK sp. z o.o. (KRS 0000100300, publiczna) od 2026-08-19; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000100300, stan 19.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
12,Piotr Kłosiński,skip,"Trzy kandydatury zgodne z dekada urodzenia (ur. 1965) - gmina Slomniki w Malopolsce, teryt 120612, komitety wyborcow, mandat w 2024. Wszystkie z innego wojewodztwa niz ktorykolwiek z jego pracodawcow, i zadna z listy partyjnej. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Prezes zarzadu PRZEDSIEBIORSTWA GOSPODARKI ODPADAMI sp. z o.o. (KRS 0000095525, publiczna, teryt 260418 - swietokrzyskie) od 2026-08-19; potwierdzone, PESEL z cyfra 6. Wczesniej zarzad PWiK w Jarocinie (Wielkopolska) 2024-2026 i Lotos Serwis 2016-2023. ZRODLO: odpis aktualny KRS 0000095525, stan 02.09.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: to jest przypadek, w ktorym zlaczenie po imieniu i nazwisku wyglada obiecujaco i nie wytrzymuje geografii. Radny gminy Slomniki spod Krakowa i prezes spolki odpadowej ze swietokrzyskiego to prawie na pewno dwie osoby; kariera tego drugiego biegnie Gdansk - Jarocin - swietokrzyskie i nigdzie nie dotyka Malopolski."
13,MICHAŁ ROJEWSKI,publish,"Trzykrotny kandydat KOMITETU WYBORCZEGO PRAWO I SPRAWIEDLIWOSC w Bochni - 2010, 2014 i 2018, teryt 120101, rocznik 1971. Bochnia to jednoczesnie siedziba jego pracodawcy. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Kierownik SAMODZIELNEGO PUBLICZNEGO GMINNEGO ZAKLADU OPIEKI ZDROWOTNEJ W BOCHNI (KRS 0000036605, publiczna) od 2026-08-19. Potwierdzone w odpisie z rejestru S: organ reprezentacji to KIEROWNIK PUBLICZNEGO ZAKLADU OPIEKI ZDROWOTNEJ, sygnatura R*******/M***** (8+6 liter), PESEL z cyfra 7 - zgodne z rocznikiem 1971. Podmiot NIE MA wpisanej rady spolecznej, wiec pulapka nr 1 tu nie dziala; posada jest kierownicza, a nie nadzorcza. ZRODLO: odpis aktualny KRS 0000036605 (rejestr S), stan 19.08.2026, api-krs.ms.gov.pl","verdict=publish || TEZA: trzykrotny kandydat PiS w Bochni zostaje kierownikiem gminnego SPZOZ w Bochni - ta sama gmina, ta sama dekada, to samo srodowisko. || UWAGA: dwie rzeczy warte odnotowania. Po pierwsze, ten KRS odpowiada tylko w rejestrze S (stowarzyszenia i SPZOZ), a nie w P - zapytanie do rejestru przedsiebiorcow zwraca 404 i pierwsze podejscie zapisalo ten blad do cache'u. Po drugie, posady kierownika SPZOZ pipeline widzi jako ""Zarzad"", co akurat jest uczciwym przyblizeniem. Zlaczenie domkniete na rocznik i gmine."
14,Jan Pędrak,skip,"Jedyny zgodny rocznikowo rekord PKW to kandydatura z 1998 w Lubinie z Komitetu Wyborczego ""Porozumienie Samorzadowe"" (ur. 1958) - komitet wyborcow, bez partii, sprzed dwudziestu osmiu lat, bez mandatu. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej WOJEWODZKIEGO PRZEDSIEBIORSTWA ENERGETYKI CIEPLNEJ W LEGNICY SA (KRS 0000081828, publiczna) od 2026-08-18; potwierdzone, PESEL z cyfra 5. Wczesniej zarzad Lubinpexu 2009-2014 i Aquaparku Polkowice 2002-2007. ZRODLO: odpis aktualny KRS 0000081828, stan 18.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - dlugi zyciorys w spolkach Zaglebia Miedziowego, ale nic, co laczyloby go z jakakolwiek partia. || UWAGA: jedna kandydatura z komitetu wyborcow sprzed niemal trzydziestu lat nie jest powiazaniem politycznym w rozumieniu strony, nawet jesli kolejnosc posad wyglada na kariere w jednym ukladzie lokalnym."
15,Bożena Krawczyk Ptaś,skip,"Osiem rekordow PKW zgodnych z dekada (ur. lata 70.), w tym mandat w 2024 - ale wszystkie z komitetow wyborcow, zaden z listy partyjnej, i najblizszy geograficznie (teryt 241107, powiat pszczynski) to nie jest powiat jej pracodawcy (Ruda Slaska, 247201). | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - 38 rekordow tego imienia i nazwiska lacznie, 30 odrzuconych po dekadzie urodzenia.","Czlonkini rady nadzorczej AQUADROM sp. z o.o. (KRS 0000252866, publiczna) od 2026-08-18, oraz rady nadzorczej Slaskiego Inkubatora Przedsiebiorczosci od 2024-08-13; pierwsza potwierdzona, sygnatura K*******|P***/B*****, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000252866, stan 21.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: dwuczlonowe nazwisko pomoglo - odpis podaje obie czlony osobno (K*******|P***), co jednoznacznie potwierdza posade. Nie pomoglo natomiast tozsamosci po stronie PKW, gdzie wykaz zna ja pod jednym z tych nazwisk i nie da sie rozstrzygnac, ktory z osmiu zgodnych rocznikowo rekordow to ona."
16,Adam Jaśkiewicz,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) Jedyny rekord PKW (2002, Stowarzyszenie Elblaskiej Lewicy) dotyczy osoby ur. 1950.","Prokurent ZAKLADU GOSPODARKI KOMUNALNEJ W JEZIERZYCACH sp. z o.o. (KRS 0000263937, publiczna) od 2026-08-18 - to jego druga prokura w tej spolce, pierwsza byla w latach 2011-2016; potwierdzone, PESEL z cyfra 7. Rada nadzorcza OSiR Redzikowo 2013-2026. ZRODLO: odpis aktualny KRS 0000263937, stan 18.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
17,Bogusława Gurgul,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Prokurent MIEJSKIEGO PRZEDSIEBIORSTWA ENERGETYKI CIEPLNEJ sp. z o.o. (KRS 0000066997, publiczna) od 2026-08-18; potwierdzone, PESEL z cyfra 7. Rada nadzorcza SIM SLASK od 2025-10-21. ZRODLO: odpis aktualny KRS 0000066997, stan 18.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
18,Łukasz Kaczmarski,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) Jedyny rekord PKW (2024, KWW Edyty Rebis) dotyczy osoby ur. 1990 - dekada sie nie zgadza.","Czlonek rady nadzorczej PRZEDSIEBIORSTWA WODOCIAGOW I KANALIZACJI sp. z o.o. (KRS 0000158259, publiczna) od 2026-08-17; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000158259, stan 17.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
19,Daria Sękowska,maybe,"Strona przypisuje jej deklaracje czlonkostwa w Platformie Obywatelskiej RP przy kandydaturze do Sejmu w 2011 - i taki rekord w PKW istnieje, ale nie ma przy nim rocznika, a okreg to malopolski (teryt 12). Drugi zgodny z dekada rekord to mandat z 2024 z KWW Sebastiana Lawniczaka w Wielkopolsce (teryt 301006, ur. 1983). Zaden z nich nie lezy tam, gdzie spolka. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonkini rady nadzorczej FABRYKA CHELM sp. z o.o. W LIKWIDACJI (KRS 0000985611, publiczna, siedziba w Warszawie) od 2026-08-13; potwierdzone, sygnatura S*******/D****, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000985611, stan 13.08.2026, api-krs.ms.gov.pl","verdict=maybe || TEZA: jesli to ta sama osoba, mamy deklarowana czlonkinie PO w radzie nadzorczej spolki publicznej - ale wlasnie tego ""jesli"" nie udalo sie zamknac. || UWAGA: to jest podrecznikowy przypadek ryzyka zlaczenia. Deklaracja czlonkostwa w PO jest mocnym dowodem, ale pochodzi z kandydatury bez rocznika w innym wojewodztwie; jedyny rekord z rocznikiem zgodnym z PESEL-em jest z trzeciego wojewodztwa i z komitetu wyborcow. Falsyfikowalne przez date urodzenia kandydatki z 2011 - PKW jej nie podaje, ale protokol okregowy moze."
20,Edyta Zębala,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonkini rad nadzorczych dwoch spolek: FABRYKA CHELM sp. z o.o. w likwidacji (KRS 0000985611) od 2026-08-13 i FABRYKA TERTIO PONTE sp. z o.o. (KRS 0000929314) od 2026-08-07, obie publiczne; obie potwierdzone, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000985611, stan 13.08.2026, api-krs.ms.gov.pl; odpis aktualny KRS 0000929314, stan 07.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
21,Katarzyna Muszyńska,skip,"Trzy rekordy zgodne z dekada (ur. 1974/1975), wszystkie z komitetow wyborcow - Lowicz w 2014 i powiat elblaski w 2018 i 2024 (mandat). Zadnej listy partyjnej; najblizszy geograficznie rekord jest z innego powiatu niz spolka. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonkini rady nadzorczej MIEJSKIEGO PRZEDSIEBIORSTWA WODOCIAGOW I KANALIZACJI W ZDUNSKIEJ WOLI sp. z o.o. (KRS 0000128732, publiczna) od 2026-08-12; potwierdzone, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000128732, stan 12.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: nazwisko pospolite (8 rekordow w PKW, 5 odrzuconych po dekadzie), zadnej partii i zadnej zgodnosci powiatu - nie ma na czym oprzec ani tezy, ani tozsamosci."
22,Wojciech Górnicki,skip,"Strona przypisuje mu kandydature SDPL do Sejmu w 2005 i start z listy CentroLewicy do PE w 2009. Te rekordy istnieja, ale sa bez rocznika, a caly otaczajacy je slad w PKW - kandydatury samorzadowe w powiecie mielckim (teryt 181904) z lat 2002-2014 - dotyczy osoby ur. 1958. PESEL we wpisie KRS zaczyna sie od 8, czyli prokurent urodzil sie w latach 80. To niemal na pewno dwie osoby. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Prokurent ORLEN NEPTUN sp. z o.o. (KRS 0000888254, publiczna) od 2026-08-12; potwierdzone, sygnatura G*******/W*******, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000888254, stan 12.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: to jest znaleziony blad w danych strony, a nie tylko brak powiazania. Strona pokazuje przy tej osobie kandydatury z SDPL i CentroLewicy; dekada z PESEL-a w KRS wyklucza, zeby byly jego. Warto to zglosic osobno - falszywie przypisana kandydatura lewicowa to dokladnie ten rodzaj bledu, ktory na opublikowanej stronie jest kosztowny."
23,MAŁGORZATA GRADZIUK,publish,"Dwukrotna kandydatka Platformy Obywatelskiej w Slupsku: 2014 z Komitetu Wyborczego Platforma Obywatelska RP i 2018 z KKW Platforma.Nowoczesna Koalicja Obywatelska, teryt 226301 (miasto Slupsk), rocznik 1983. Slupsk to jednoczesnie siedziba jej pracodawcy. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - tylko dwa rekordy tego imienia i nazwiska w calym wykazie, oba jej.","Kierownik REGIONALNEGO CENTRUM KRWIODAWSTWA I KRWIOLECZNICTWA IM. JANA PAWLA II W SLUPSKU (KRS 0000025543, publiczna) od 2026-08-12. Potwierdzone w odpisie z rejestru S: organ reprezentacji to KIEROWNIK SPZOZ, sygnatura G*******/M********* (8+10 liter), PESEL z cyfra 8, kwalifikacje: studia podyplomowe z organizacji i zarzadzania w ochronie zdrowia. Podmiot nie ma wpisanej rady spolecznej. ZRODLO: odpis aktualny KRS 0000025543 (rejestr S), stan 12.08.2026, api-krs.ms.gov.pl","verdict=publish || TEZA: dwukrotna kandydatka PO w Slupsku obejmuje kierownictwo slupskiego regionalnego centrum krwiodawstwa - jednostki podleglej ministrowi zdrowia, nie samorzadowi, wiec nominacja idzie kanalem rzadowym. || UWAGA: to jest najczystsze zlaczenie w calej sierpniowej setce: dwa (i tylko dwa) rekordy w PKW, oba z tego samego miasta, rocznik zgodny z dekada z PESEL-a, miasto zgodne z siedziba pracodawcy. Warto odnotowac, ze api-krs trzyma SPZOZ-y w rejestrze S i reprezentacje pod kluczem reprezentacjaIBIGBPPSPZOZ, a nie tam, gdzie spolki - pierwsze przejscie tej triazy przegapilo z tego powodu dwie kierownicze posady."
