nr,osoba,wynik,pozycja_w_kolejce,link,id,modele,wynik_bez_party_member,rejestr_io,partie,zatrudniony_od,posady,kandydatury
11,Teresa Mazurek,4.00,12,https://autopush.koryta.pl/osoba/xWQvt45R5hZbatHWDRtz,xWQvt45R5hZbatHWDRtz,evidence=3 pipeline=5 pipeline-capture=5 pipeline-pagerank=2 pipeline-succession=1 pipeline-together=1,4.00,https://rejestr.io/osoby/1452975,,2026-04-23,"Rada Nadzorcza @ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ POWIATOWE POGOTOWIE RATUNKOWE W ŚWIDNICY (KRS 0000098817, publiczna) 2026-04-23–nadal",1998 Samorząd Komitet Wyborczy Nasza Wiejska Gmina- Nasz Powiat; 2006 Samorząd KWW Teresy Mazurek-Wspólna Gmina; 1998 Samorząd Komitet Wyborczy Nasza Wiejska Gmina-Nasz Powiat; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW TERESY MAZUREK WSPÓLNA GMINA; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW TERESY MAZUREK WSPÓLNA GMINA WYBRANY; 2002 Samorząd KWW Wspólnota Samorządowa; 2014 Samorząd Komitet Wyborczy Wyborców Teresy Mazurek Wspólna Gmina 58-100 Świdnica Panków 18A; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW TERESY MAZUREK WSPÓLNA GMINA WYBRANY; 2024 Samorząd KWW WSPÓLNY POWIAT WYBRANY; 1994 Samorząd; 2002 Samorząd KWW Wspólnota Samorządowa
12,Witold Kozłowski,3.99,13,https://autopush.koryta.pl/osoba/Qu162ZT6oNDgE2HZG9yA,Qu162ZT6oNDgE2HZG9yA,evidence=3 pipeline=4 pipeline-capture=4 pipeline-facts=4 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=2 pipeline-turnover=5,3.99,https://rejestr.io/osoby/1258289,"PO, PiS",2024-12-23,"Rada Nadzorcza @ MAŁOPOLSKA ORGANIZACJA TURYSTYCZNA (KRS 0000053654, publiczna) 2002-04-23–2006-06-23; Rada Nadzorcza @ PGE POLSKA GRUPA ENERGETYCZNA (KRS 0000059307, publiczna) 2016-11-25–2018-09-17; Rada Nadzorcza @ SZPITAL SPECJALISTYCZNY IM. JĘDRZEJA ŚNIADECKIEGO W NOWYM SĄCZU (KRS 0000029409, publiczna) 2024-12-23–nadal; Zarząd @ MAŁOPOLSKA ORGANIZACJA TURYSTYCZNA (KRS 0000053654, publiczna) 2006-06-23–2010-08-20; Rada Nadzorcza @ SZPITAL WOJEWÓDZKI IM.ŚW.ŁUKASZA SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W TARNOWIE (KRS 0000027124, publiczna) 2017-03-28–2019-08-30; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL OKULISTYCZNY W KRAKOWIE (KRS 0000005551, publiczna) 2024-10-30–nadal",1998 Samorząd Komitet Wyborczy Akcja Wyborcza Solidarność; 2002 Samorząd KWW Wspólnota Małopolska; 2006 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY
13,Antoni Tarczyński,3.94,15,https://autopush.koryta.pl/osoba/CAcXhkiBVkmNoyzYsehZ,CAcXhkiBVkmNoyzYsehZ,evidence=4 pipeline=4 pipeline-capture=4 pipeline-pagerank=3 pipeline-turnover=4,3.75,https://rejestr.io/osoby/403205,PSL,2016-11-14,"Rada Nadzorcza @ MAZOWIECKI SZPITAL WOJEWÓDZKI DREWNICA (KRS 0000349207, publiczna) 2016-11-14–nadal; Rada Nadzorcza @ MAZOWIECKIE CENTRUM REHABILITACJI ""STOCER"" (KRS 0000337011, publiczna) 2009-09-16–2016-12-23; Rada Nadzorcza @ ELEWARR (KRS 0000102377, publiczna) 2002-03-25–2003-09-17",2007 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2001 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL PKW-deklaracja: PSL; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW TWÓJ POWIAT WYBRANY; 2005 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 2011 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL PKW-deklaracja: członek partii Polskie Stronnictwo Ludowe; 1994 Samorząd; 2014 Samorząd Komitet Wyborczy Wyborców Twój Powiat; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW TWÓJ POWIAT; 2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 1993 Sejm Polskie Stronnictwo Ludowe; 2006 Samorząd Komitet Wyborczy Wyborców Twój Powiat; 2024 Samorząd KWW TWÓJ POWIAT WYBRANY; 1997 Sejm Naczelny Komitet Wykonawczy Polskiego Stronnictwa Ludowego partia: PSL; 1998 Samorząd Krajowy Komitet Wyborczy Przymierze Społeczne: PSL-UP-KPEiR partia: PSL; 1991 Sejm Polskie Stronnictwo Ludowe Sojusz Programowy PKW-deklaracja: PSL
14,Marian Ormaniec,3.93,16,https://autopush.koryta.pl/osoba/BkNemNw94yVh50hULMuE,BkNemNw94yVh50hULMuE,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=2 pipeline-turnover=5,3.58,https://rejestr.io/osoby/1251547,PSL,2012-08-31,"Rada Nadzorcza @ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL KOLEJOWY W WILKOWICACH-BYSTREJ /S.P.Z.O.Z. SZPITAL KOLEJOWY W WILKOWICACH-BYSTREJ/ (KRS 0000031391, publiczna) 2012-03-26–2016-10-31; Zarząd @ BESKIDZKI HURT TOWAROWY (KRS 0000144861, publiczna) 2003-02-17–2006-12-27; Rada Nadzorcza @ ""BESKID-EKOSYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000075906, publiczna) 2012-08-31–2012-11-20; Rada Nadzorcza @ FUNDACJA ROZWOJU (KRS 0000125573, prywatna/nieznana) 2002-08-01–2004-06-14; Rada Nadzorcza @ BESKID ŻYWIEC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000094136, publiczna) 2012-02-06–2015-07-09","1998 Samorząd Komitet Wyborczy ""Forum Samorządowe""; 2001 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2019 Sejm KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2005 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2002 Samorząd KWW Porozumienie Samorządowe Żywiecczyzny; 1993 Sejm Polskie Stronnictwo Ludowe; 2011 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL PKW-deklaracja: członek partii Polskie Stronnictwo Ludowe; 2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE POWIATU ŻYWIECKIEGO; 2014 Samorząd Komitet Wyborczy Wyborców Porozumienie Samorządowe; 2009 Parlament Europejski Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2007 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE POWIATU ŻYWIECKIEGO PKW-deklaracja: Polskie Stronnictwo Ludowe; 1994 Samorząd; 2014 Samorząd Komitet Wyborczy Wyborców Porozumienie Samorządowe"
15,Wojciech Dariusz Godlewski,3.91,17,https://autopush.koryta.pl/osoba/PWbYY5wK6HUa5QfW2SNN,PWbYY5wK6HUa5QfW2SNN,evidence=3 pipeline=4 pipeline-capture=5 pipeline-pagerank=3,3.91,https://rejestr.io/osoby/1125269,PO,2026-05-22,"Rada Nadzorcza @ SAMODZIELNY ZESPÓŁ PUBLICZNYCH ZAKŁADÓW LECZNICTWA OTWARTEGO WARSZAWA - WAWER (KRS 0000089156, publiczna) 2026-05-22–nadal","2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO; 2010 Samorząd KOMITET WYBORCZY ""WAWER 2002""; 2014 Samorząd Komitet Wyborczy Wyborców Wawerska Inicjatywa Samorządowa"
16,Andrzej Kredkowski,3.91,18,https://autopush.koryta.pl/osoba/jRxESJP09Y3xCMrTHzH3,jRxESJP09Y3xCMrTHzH3,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-succession=3 pipeline-together=1,3.67,https://rejestr.io/osoby/3143980,PiS,2023-08-16,"Rada Nadzorcza @ WOJEWÓDZKIE CENTRUM SZPITALNE KOTLINY JELENIOGÓRSKIEJ (KRS 0000083901, publiczna) 2023-08-09–nadal; Rada Nadzorcza @ WOJEWÓDZKIE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ W LEGNICY (KRS 0000081828, publiczna) 2023-08-16–2024-06-20",2002 Samorząd KWW PRZYMIERZE SAMORZĄDOWE; 2019 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2004 Parlament Europejski Komitet Wyborczy Liga Polskich Rodzin PKW-deklaracja: Liga Polskich Rodzin
17,Henryk Czesław Gawor,3.90,19,https://autopush.koryta.pl/osoba/f5DcLFuP4yXf6vnnEEd2,f5DcLFuP4yXf6vnnEEd2,evidence=4 pipeline=4 pipeline-capture=5 pipeline-pagerank=2 pipeline-succession=1 pipeline-turnover=4,3.73,https://rejestr.io/osoby/952969,PiS,2024-06-17,"Rada Nadzorcza @ SOLNE MIASTO (KRS 0000336614, publiczna) 2024-06-17–nadal; Rada Nadzorcza @ STOWARZYSZENIE METROPOLIA KRAKOWSKA (KRS 0000514292, prywatna/nieznana) 2014-06-24–2019-04-08",2006 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek Prawa i Sprawiedliwości WYBRANY; 2014 Samorząd Komitet Wyborczy Wyborców Wójta Henryka Gawora
18,Michał Marcin Rado,3.89,20,https://autopush.koryta.pl/osoba/Iad0zvwJemI5SJAOdFZU,Iad0zvwJemI5SJAOdFZU,evidence=4 pipeline=3 pipeline-capture=4 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=1 pipeline-turnover=5,3.71,https://rejestr.io/osoby/2794343,PO,2025-07-07,"Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO OCZYSZCZANIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LUBINIE (KRS 0000141601, publiczna) 2024-11-06–nadal; Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE (KRS 0000027173, publiczna) 2025-07-07–nadal; Zarząd @ DOLNOŚLĄSKA AGENCJA WSPÓŁPRACY GOSPODARCZEJ (KRS 0000213275, publiczna) 2021-03-29–2024-06-11; Rada Nadzorcza @ DOLNOŚLĄSKIE CENTRUM MEDYCZNE DOLMED (KRS 0000242837, prywatna/nieznana) 2020-10-01–2024-11-20; Zarząd @ STOWARZYSZENIE ""RZECZPOSPOLITA SAMORZĄDNA"" (KRS 0000723501, prywatna/nieznana) 2022-12-01–2024-08-02; Rada Nadzorcza @ PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W WISZNI MAŁEJ (KRS 0000465303, publiczna) 2024-08-23–2025-07-16",2018 Samorząd KOMITET WYBORCZY WYBORCÓW NASZA GMINA OŁAWA; 2024 Samorząd KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY” WYBRANY; 2023 Senat KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY PKW-deklaracja: członek partii politycznej: Bezpartyjni Samorządowcy-Łączy nas Polska; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW GOSPODARNA GMINA OŁAWA; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO
19,Dariusz Pilśniak,3.88,21,https://autopush.koryta.pl/osoba/eUBhK0Gi9jTnhWPlG37T,eUBhK0Gi9jTnhWPlG37T,evidence=3 pipeline=4 pipeline-capture=5 pipeline-pagerank=2 pipeline-succession=4 pipeline-together=1 pipeline-turnover=4,3.88,https://rejestr.io/osoby/969841,"PSL, Polska 2050",2024-09-27,"Zarząd @ ZWIĄZEK GMIN I POWIATÓW SUBREGIONU PÓŁNOCNEGO WOJEWÓDZTWA ŚLĄSKIEGO (KRS 0000821458, prywatna/nieznana) 2024-07-01–nadal; Rada Nadzorcza @ ZESPÓŁ OPIEKI ZDROWOTNEJ W KŁOBUCKU (KRS 0000005621, publiczna) 2024-09-27–nadal",2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI WYBRANY; 2014 Samorząd Komitet Wyborczy Wyborców Koalicja Samorządowa; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW SAMORZĄD KOMPETENTNYCH LUDZI; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY
20,Witold Marek Wróblewski,3.87,22,https://autopush.koryta.pl/osoba/eIDYcRWf2NKYU3TzrCQx,eIDYcRWf2NKYU3TzrCQx,evidence=4 pipeline=3 pipeline-capture=4 pipeline-pagerank=2 pipeline-together=1 pipeline-turnover=5,3.69,https://rejestr.io/osoby/863761,"PSL, Polska 2050",2024-04-19,"Rada Nadzorcza @ ROLNO-SPOŻYWCZY RYNEK HURTOWY ""GIEŁDA ELBLĄSKA"" (KRS 0000064518, publiczna) 2024-04-19–2026-06-03; Rada Nadzorcza @ WARMIA I MAZURY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000399439, publiczna) 2011-10-18–2015-03-10; Rada Nadzorcza @ SZPITAL MIEJSKI ŚW. JANA PAWŁA II W ELBLĄGU (KRS 0000394336, publiczna) 2015-11-06–2022-04-12",2018 Samorząd KOMITET WYBORCZY WYBORCÓW WITOLDA WRÓBLEWSKIEGO PKW-deklaracja: Polskie Stronnictwo Ludowe; 2014 Samorząd Komitet Wyborczy Wyborców WITOLDA WRÓBLEWSKIEGO; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW WITOLDA WRÓBLEWSKIEGO; 2010 Samorząd KOMITET WYBORCZY STOWARZYSZENIA ELBLĄSKI DOBRY SAMORZĄD; 2011 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL PKW-deklaracja: nie należy do partii politycznej; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW WITOLDA WRÓBLEWSKIEGO PKW-deklaracja: Polskie Stronnictwo Ludowe WYBRANY; 2014 Samorząd Komitet Wyborczy Wyborców WITOLDA WRÓBLEWSKIEGO
21,Leszek Jan Świętochowski,3.86,23,https://autopush.koryta.pl/osoba/jM0CrBub6Bi2FJvvezLL,jM0CrBub6Bi2FJvvezLL,evidence=4 pipeline=4 pipeline-capture=2 pipeline-pagerank=3 pipeline-succession=4 pipeline-together=2 pipeline-turnover=5,3.69,https://rejestr.io/osoby/698316,"PSL, Polska 2050",2026-02-03,"Rada Nadzorcza @ POLSKI ZWIĄZEK PRZEDSIĘBIORCÓW HANDLUJĄCYCH CUKREM (KRS 0000271705, prywatna/nieznana) 2026-02-03–nadal; Rada Nadzorcza @ KRAJOWA GRUPA SPOŻYWCZA (KRS 0000084678, publiczna) 2024-12-16–2025-04-23; Zarząd @ ZWIĄZEK PRODUCENTÓW CUKRU W POLSCE (KRS 0000143125, prywatna/nieznana) 2026-02-02–nadal; Zarząd @ KRAJOWA GRUPA SPOŻYWCZA (KRS 0000084678, publiczna) 2025-04-23–nadal; Zarząd @ ""STADNINA KONI JANÓW PODLASKI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000109401, prywatna/nieznana) 2024-05-10–2025-04-09; Rada Nadzorcza @ ZAKŁAD GOSPODARKI KOMUNALNEJ GMINY STANIN (KRS 0000674478, prywatna/nieznana) 2019-08-07–2024-01-22; Rada Nadzorcza @ ELEWARR (KRS 0000102377, publiczna) 2014-07-18–2016-02-09",1998 Samorząd Krajowy Komitet Wyborczy Przymierze Społeczne: PSL-UP-KPEiR partia: PSL; 2001 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL PKW-deklaracja: Polskie Stronnictwo Ludowe; 2007 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 1994 Samorząd; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2011 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL PKW-deklaracja: członek partii PSL; 2023 Sejm KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2005 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2009 Parlament Europejski Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2004 Parlament Europejski Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL PKW-deklaracja: Polskie Stronnictwo Ludowe; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 1997 Sejm Naczelny Komitet Wykonawczy Polskiego Stronnictwa Ludowego partia: PSL
22,Rudolf Galocz,3.85,24,https://autopush.koryta.pl/osoba/madwDjuGRexE4CPEW457,madwDjuGRexE4CPEW457,evidence=3 pipeline=4 pipeline-capture=5 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=1,4.11,https://rejestr.io/osoby/1451620,SLD,2008-10-13,"Rada Nadzorcza @ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL KOLEJOWY W WILKOWICACH-BYSTREJ /S.P.Z.O.Z. SZPITAL KOLEJOWY W WILKOWICACH-BYSTREJ/ (KRS 0000031391, publiczna) 2005-04-13–2009-03-09; Rada Nadzorcza @ OBWÓD LECZNICTWA KOLEJOWEGO - S.P.Z.O.Z. W BIELSKU-BIAŁEJ (KRS 0000132016, publiczna) 2008-10-13–2012-01-25; Rada Nadzorcza @ BESKIDZKI ZESPÓŁ LECZNICZO-REHABILITACYJNY SZPITAL OPIEKI DŁUGOTERMINOWEJ W JAWORZU (KRS 0000179093, publiczna) 2005-08-01–2008-02-26; Rada Nadzorcza @ PSYCHIATRYCZNY ZAKŁAD OPIEKUŃCZO-LECZNICZY (KRS 0000118523, prywatna/nieznana) 2008-08-25–2013-04-30","1998 Samorząd Komitet Wyborczy ""O Przyszłość Jaworza""; 1994 Samorząd; 2010 Samorząd KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ partia: SLD; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 2006 Samorząd Komitet Wyborczy Wyborców ""Przyjazny Samorząd""; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD"
23,Jolanta Koczorowska,3.84,25,https://autopush.koryta.pl/osoba/M84EY5Xq7Npr9MMENc5s,M84EY5Xq7Npr9MMENc5s,evidence=4 pipeline=4 pipeline-capture=4 pipeline-pagerank=3 pipeline-succession=2 pipeline-together=1 pipeline-turnover=4,3.66,https://rejestr.io/osoby/940497,PO,2022-07-04,"Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO TAKSÓWKOWE (KRS 0000101427, prywatna/nieznana) 2015-02-17–2021-05-07; Rada Nadzorcza @ FUNDACJA ""NIKT NIE ZOSTAJE"" (KRS 0000499206, prywatna/nieznana) 2022-07-04–nadal; Rada Nadzorcza @ MIĘDZYLESKI SZPITAL SPECJALISTYCZNY W WARSZAWIE (KRS 0000080872, publiczna) 2012-12-20–2021-03-02; Rada Nadzorcza @ MAZOWIECKIE CENTRUM LECZENIA CHORÓB PŁUC I GRUŹLICY (KRS 0000080790, publiczna) 2014-11-13–nadal; Rada Nadzorcza @ SULEJÓWEK INWESTYCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000295077, publiczna) 2012-04-13–2013-10-18; Rada Nadzorcza @ MAZOWIECKIE CENTRUM NEUROPSYCHIATRII (KRS 0000336643, publiczna) 2021-02-02–nadal",1998 Samorząd Komitet Wyborczy AWS; 1994 Samorząd; 2006 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2015 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 1991 Sejm Porozumienie Obywatelskie Centrum; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2019 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO; 2002 Samorząd KWW Inicjatywa Społeczna Wspólnota Samorządowa; 2005 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO
24,Barbara Szeflińska,3.84,26,https://autopush.koryta.pl/osoba/hzaGq5iX6AoDc1yNSVAi,hzaGq5iX6AoDc1yNSVAi,evidence=4 pipeline=4 pipeline-capture=5 pipeline-pagerank=3 pipeline-turnover=3,3.65,https://rejestr.io/osoby/1394328,SLD,2014-02-03,"Zarząd @ WIELKOPOLSKIE CENTRUM RATOWNICTWA MEDYCZNEGO (KRS 0000496614, publiczna) 2014-02-03–nadal; Zarząd @ AGENCJA ROZWOJU REGIONALNEGO SPÓŁKA AKCYJNA W KONINIE (KRS 0000053695, prywatna/nieznana) 2003-09-19–2004-12-21",1998 Samorząd Krajowy Komitet Wyborczy Sojuszu Lewicy Demokratycznej partia: SLD; 2010 Samorząd KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ partia: SLD; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 1993 Sejm Sojusz Lewicy Demokratycznej PKW-deklaracja: SdRP; 2014 Samorząd Koalicyjny Komitet Wyborczy SLD Lewica Razem partia: SLD; 2001 Sejm Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy PKW-deklaracja: członek SLD; 2006 Samorząd Koalicyjny Komitet Wyborczy SLD+SDPL+PD+UP Lewica i Demokraci partia: SLD
25,Mirosław Ślifirczyk,3.83,27,https://autopush.koryta.pl/osoba/AQhNYZoyWo9XTkBobZoJ,AQhNYZoyWo9XTkBobZoJ,evidence=4 pipeline=4 pipeline-capture=4 pipeline-pagerank=2,3.57,https://rejestr.io/osoby/401051,"PSL, Polska 2050",2013-12-17,"Rada Nadzorcza @ MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000490819, publiczna) 2013-12-17–nadal",2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek Polskiego Stronnictwa Ludowego; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2011 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL PKW-deklaracja: członek partii Polskie Stronnictwo Ludowe; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 1998 Samorząd Krajowy Komitet Wyborczy Przymierze Społeczne: PSL-UP-KPEiR partia: PSL; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2023 Sejm KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI WYBRANY; 2019 Sejm KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL
