nr,osoba,werdykt,connection,post,comment
24,Rudolf Galocz,skip,"None found beyond candidacy rows - he ran repeatedly on SLD-coalition tickets in 2002 and 2010, plus two non-partisan local committees ('O Przyszłość Jaworza', 'Przyjazny Samorząd') in 1998 and 2006; no PKW-deklaracja party-membership tag and no WYBRANY flag anywhere. | ZRODLO: odeszliodnas.ox.pl obituary 'Zmarł Rudolf Galocz' (d. 2012-12-05); koryta kandydatury field.","4 historical posady, all supervisory hospital-board seats, all ended by 2013: SPZOZ Szpital Kolejowy Wilkowice-Bystra (KRS 0000031391) 2005-2009; Obwód Lecznictwa Kolejowego SPZOZ Bielsko-Biała (KRS 0000132016) 2008-2012; Beskidzki Zespół Leczniczo-Rehabilitacyjny Jaworze (KRS 0000179093) 2005-2008 - all three are supervisory_organ='rada_spoleczna', unpaid seats excluded by house rule. The fourth, Psychiatryczny Zakład Opiekuńczo-Leczniczy (KRS 0000118523) 2008-2013, now returns 404/empty on the live KRS registers, consistent with a defunct entity. None current - the person died in December 2012.","verdict=skip || TEZA: No story - Rudolf Galocz, a former radny gminy Jaworze, radny powiatu bielskiego and wicewójt Jaworza (to 2002) who died in December 2012, held only unpaid rada społeczna hospital-board seats and never won a partisan election. || UWAGA: The obituary confirms geography (Jaworze/Bielsko-Biała) matching his posady but does not itself confirm SLD membership, which rests only on his mixed 2002/2010 coalition candidacies against non-partisan committees in 1998/2006 - moot regardless, since 3 of 4 posts are rada społeczna and the 4th company appears defunct. No verifier was run on this skip."
25,Jolanta Koczorowska,ODRZUCONE,"Claimed as chairwoman of PO's Otwock-county structures (przewodnicząca struktur Platformy Obywatelskiej w powiecie otwockim); radna Rady Powiatu Otwockiego (PO); PKW-deklaracja 'członek partii politycznej: Platforma Obywatelska RP' on the 2019 Sejm list; WYBRANY in the 2010 samorządowe elections. | ZRODLO: radiokolor.pl 'Otwock. Fałszywe podpisy na sesji i zawieszeni radni PO' (calls her przewodnicząca struktur PO powiatu otwockiego); bip.powiat-otwocki.pl/plik,20890,lp2-interpelacja.pdf ('Radna Rady Powiatu Otwockiego - Jolanta Koczorowska'); wybory2010.pkw.gov.pl candidate list (Jolanta Maria Koczorowska, age 61, Radiówek); koryta kandydatury field; live KRS pull https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000336643?rejestr=P&format=json (2026-09-05).","3 genuinely public Rada Nadzorcza posts: Mazowieckie Centrum Neuropsychiatrii (KRS 0000336643) 2021-02-02–nadal, current, confirmed live today; Miejskie Przedsiębiorstwo Taksówkowe (KRS 0000101427, Warsaw's municipal taxi company) 2015-2021, ended; Sulejówek Inwestycje (KRS 0000295077) 2012-2013, ended. Excluded as rada społeczna: Międzyleski Szpital Specjalistyczny (KRS 0000080872) and Mazowieckie Centrum Leczenia Chorób Płuc i Gruźlicy (KRS 0000080790), both unpaid hospital councils despite one being marked 'nadal'. Fundacja 'Nikt nie zostaje' (KRS 0000499206) excluded as a private foundation.","verdict=ODRZUCONE || TEZA: A sitting PO Otwock-county chapter chairwoman and elected county councillor currently sits on the real supervisory board of a Mazowieckie-owned psychiatric hospital company. || UWAGA: VERIFIER REFUTED - the sole cited source for the 'przewodnicząca struktur PO powiatu otwockiego' claim, https://radiokolor.pl/otwock-falszywe-podpisy-na-sesji-i-zawieszeni-radni-po/, returns HTTP 404 ('Błąd 404 - Strona nie została znaleziona'), and the site's own search for 'Koczorowska' returns zero results; no archived or alternate copy could be located, and WebSearch/Bing/DuckDuckGo fallbacks produced no corroboration either. The verifier notes a narrower case still stands on primary sources - bip.powiat-otwocki.pl/plik,20890,lp2-interpelacja.pdf independently confirms her as 'Radna Rady Powiatu Otwockiego / Klub Radnych Platformy Obywatelskiej RP' (Radiówek, 31.03.2020), matching the 2010 PKW candidate record's 'Radiówek' town, and the current Mazowieckie Centrum Neuropsychiatrii seat is confirmed live and genuinely public (rada_nadzorcza) - but the specific chairwoman/party-leadership claim as researched is unsupported and must not be printed as given."
26,Barbara Szeflińska,ODRZUCONE,"Claimed as a former radna and member of the zarząd powiatu konińskiego during the 2002-2006 term (per oświadczenia majątkowe, BIP Powiat Koniński); repeat SLD/koalicja SLD-UP candidate 1993-2014, PKW-deklaracja 'członek SLD' on the 2001 Sejm list; since 2014 prezes zarządu of Wielkopolskie Centrum Ratownictwa Medyczne. | ZRODLO: bip.powiat.konin.pl/koninp/archiwum/barbara-szeflinska.html (oświadczenia majątkowe 2002-2006); lajt.lm.pl 'Znamy skład Rady Powiatu'; powiat.konin.pl biuletyn PDF; koryta kandydatury field; live KRS pull https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000496614?rejestr=P&format=json (2026-09-05).","2 genuine public Zarząd posts: Agencja Rozwoju Regionalnego S.A. w Koninie (KRS 0000053695) 2003-09-19–2004-12-21, ended, coinciding with her council term; Wielkopolskie Centrum Ratownictwa Medyczne (KRS 0000496614) 2014-02-03–nadal, current, confirmed live today as sole Prezes Zarządu.","verdict=ODRZUCONE || TEZA: A former SLD-affiliated Konin county councillor and county-executive-board member, appointed to a regional development agency board during her term, is now a long-serving public-hospital-company president. || UWAGA: VERIFIER REFUTED - the 'członkiem zarządu powiatu konińskiego' claim is contradicted by primary sources: all five of her own signed oświadczenia majątkowe on file (za 2002/03/04/05, koniec kadencji 2006, ze 2006 r.) are filed on the plain-radny template ('OŚWIADCZENIE MAJĄTKOWE radnego powiatu'), never on the separate zarząd-member template, and two of them explicitly list her income as 'dieta Radnego Powiatu Konińskiego' - never any zarząd-powiatu remuneration. The verifier confirms the rest of the case independently (her own 2004 declaration lists income from Agencja Rozwoju Regionalnego S.A. w Koninie, closing the identity gap for that KRS post; lajt.lm.pl confirms her 2006 re-election to the council; live KRS today confirms current Prezes Zarządu at Wielkopolskie Centrum Ratownictwa Medyczne, masked name matching Szeflińska/Barbara letter-for-letter) - but the specific zarząd-powiatu claim must be dropped, she was only ever an ordinary radna."
27,Mirosław Ślifirczyk,publish,"Long-serving PSL activist: wójt gminy Zakrzew 1990-1998, radny powiatu radomskiego since 1999 (re-elected, WYBRANY 2024 on the KKW Trzecia Droga PSL-PL2050 list), twice starosta radomski (2010, 2018); PKW-deklaracja 'członek partii politycznej: Polskie Stronnictwo Ludowe' on the 2023 Sejm list. | ZRODLO: portalsamorzadowy.pl/osoba/miroslaw-slifirczyk,40518.html (biography: wójt Zakrzewa 1990-98, radny powiatu radomskiego from 1999, starosta 2010 and 2018, elected to Rada Powiatu Radomskiego 2024-2029 with 1317 votes); radom24.pl 'Bez zmian w powiecie radomskim. Starostą ponownie Mirosław Ślifirczyk' (cited, but could not be re-located by the verifier - not load-bearing); koryta kandydatury field; live KRS pull https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000490819?rejestr=P&format=json (2026-09-05).","1 post: Rada Nadzorcza @ Mazowiecki Szpital Specjalistyczny sp. z o.o. w Radomiu (KRS 0000490819, genuinely public - the entity was converted from an SPZOZ into a sp. z o.o. in 2013, so this is a real rada_nadzorcza, not a rada społeczna), 2013-12-17–nadal, current, confirmed live today. The hospital is owned 100% by Samorząd Województwa Mazowieckiego (regional), not his own Powiat Radomski.","verdict=publish || TEZA: Twice starosta radomski and career PSL local-government figure has sat on the real supervisory board of a Mazowieckie-owned hospital continuously since 2013, spanning three of his own terms in office. || UWAGA: A verifier checked the case independently today, confirmed the biography via portalsamorzadowy.pl, confirmed the seat is live and the entity's 100% regional ownership via a fresh KRS pull, and found no grounds to kill it - only the radom24.pl citation could not be re-located, which is not load-bearing. Frame the board seat as regional PSL-network patronage, not self-dealing, since the appointing owner is the voivodeship, not his own powiat."
28,Ewa Malik,skip,"Trzykrotna posel na Sejm RP z ramienia PiS, wybrana w 2011, 2019 i 2023 roku (WYBRANY x3 w kandydaturach), i wieloletnia deklarowana czlonkini partii. Jedyny odnaleziony wpis KRS to fotel w Wojewodzkim Szpitalu Specjalistycznym nr 5 im. Sw. Barbary w Sosnowcu (KRS 0000003544), trzymany 2020-02-25-2023-12-21 i ponownie od 2024-05-21 do dzis - a to rada spoleczna, nie rada nadzorcza: zywy odpis (rejestr S, bo rejestr P zwraca 404), pobrany 2026-09-05, wprost nazywa organ 'RADA SPOLECZNA', wiec pulapka nr 1 ma tu pelne zastosowanie. | ZRODLO: https://www.sejm.gov.pl/sejm9.nsf/posel.xsp?id=230 (profil sejmowy); pole kandydatury w datasecie PKW (WYBRANY 2011, 2019, 2023); zywy odpis KRS aktualny, rejestr S, KRS 0000003544, pobrany 2026-09-05.","1 posada w rekordzie, oba okresy tej samej rady spolecznej (KRS 0000003544), potwierdzonej na zywo jako 'RADA SPOLECZNA' (wykluczona, pulapka 1). Po wykluczeniu zostaje 0 prawdziwych stanowisk w korycie.","verdict=skip || TEZA: Trzykadencyjna poslanka PiS ma w calym rekordzie tylko jedno stanowisko - nieplatna rada spoleczna szpitala, ktora serwis wprost wyklucza z publikacji, wiec nie ma tu zadnego prawdziwego stanowiska w spolce publicznej do sparowania z jej silnym politycznym zyciorysem. || UWAGA: Strona polityczna jest bardzo dobrze udokumentowana, ale nazwiska w zywym odpisie KRS sa zanonimizowane (PESEL/imie ukryte), wiec nie dalo sie potwierdzic jej osobiscie na liscie rady spolecznej po nazwisku - tozsamosc opiera sie na zgodnosci miasta (Sosnowiec) i rekordu, nie na dopasowaniu nazwiska w rejestrze na zywo. Jesli gdzie indziej wyplynie prawdziwe stanowisko w spolce, polaczenie polityczne samo w sobie nie budzi watpliwosci."
29,Maciej Patryk Kupaj,ODRZUCONE,"Prezydent Miasta Legnicy, wybrany w 2024 r. z listy KKW Koalicja Obywatelska (PO), WYBRANY, wygral II ture z 65,94% glosow z Joanna Sliwinska-Lokaj (PiS); wczesniej radny miejski PO/KO w Legnicy w kadencjach 2014-2018 i 2018-2024. Rownolegle od 2012-07-25 zasiada w Radzie Nadzorczej Strefa 3D sp. z o.o. (KRS 0000427825) - spolki oznaczonej w datasecie jako publiczna (is_public_raw=true) dzieki udzialowcowi Agencja Rozwoju Regionalnego 'ARLEG' S.A. Zywy odpis KRS pobrany 2026-09-05 potwierdza, ze mandat wciaz trwa (dopasowanie dlugosci zanonimizowanego nazwiska/imion). | ZRODLO: https://pl.wikipedia.org/wiki/Maciej_Kupaj; https://www.portalsamorzadowy.pl/osoba/maciej-kupaj,8538.html; https://portal.legnica.eu/aktualnosci/maciej-kupaj-prezydentem-legnicy-kandydat-po-wygral-ii-ture-wyborow,19614,1,6.html; PKW https://samorzad2024.pkw.gov.pl/samorzad2024/pl/wbp/kandydat/3516303; zywy odpis KRS aktualny, rejestr P, KRS 0000427825, pobrany 2026-09-05.","5 posad w rekordzie. 1 pozornie aktualna: Strefa 3D, Rada Nadzorcza (2012-nadal). Pozostale: wykluczona rada spoleczna szpitala w Legnicy (pulapka 1, zakonczona 2020), prywatna RN w TVD (zakonczona 2015), prywatny Zarzad w stowarzyszeniu Funtri (zakonczony 2016), i biezace miejsce w Radzie Zwiazku Pracodawcow Polska Miedz (prywatne stowarzyszenie pracodawcow, od wrzesnia 2025) - to ostatnie nie jest prawdziwym stanowiskiem publicznym.","verdict=ODRZUCONE || TEZA: Legnicki prezydent PO (wybrany 2024) mial wciaz figurowac na zywo w KRS jako czlonek rady nadzorczej Strefa 3D - spolki rekreacyjnej powiazanej z miastem, do ktorej wszedl jeszcze jako radny w 2012 roku. || UWAGA: VERIFIER REFUTED - obciazajaca przeslanka 'Strefa 3D jest spolka publiczna' nie przechodzi niezaleznej weryfikacji: zywy odpis KRS 0000427825 pokazuje, ze wiekszosciowym (51%) udzialowcem jest Kregielnia Piastowska sp. z o.o., ktorej z kolei 98,3% udzialow (295 000 z 300 000 zl) nalezy do jednej prywatnej osoby fizycznej; mniejszosciowy (49%) udzialowiec to ARLEG S.A., ktorej wlasny rejestr akcjonariuszy nie jest ujawniony w odpisie, wiec jej 'publicznosc' pozostaje niezweryfikowana. is_public_raw=true w krs_lookup.json wyglada na falszywy pozytyw pipeline'u, ktory prawdopodobnie oznacza spolke jako 'publiczna', gdy ktorykolwiek ze wspolwlascicieli jest powiazany z sektorem publicznym, bez wazenia udzialu kontrolnego. Po wykluczeniu Strefy 3D nie zostaje zaden kwalifikujacy sie, aktualny post w rzeczywiscie publicznej spolce (szpital wykluczony pulapka 1, TVD i Funtri dawno zakonczone, Zwiazek Pracodawcow Polska Miedz sam w sobie nie jest publiczny). Sama wygrana w wyborach 2024 i tozsamosc sa potwierdzone niezaleznie (Wikipedia, portalsamorzadowy.pl, zywy KRS), ale polaczenie z posada w spolce publicznej sie nie utrzymuje."
30,Urszula Teresa Nowogórska,maybe,"Poslanka na Sejm RP (PSL/Trzecia Droga), wybrana w 2019 i 2023 (WYBRANY x2); wczesniej dwukrotna przewodniczaca Sejmiku Wojewodztwa Malopolskiego (2010, 2014-2018); wieloletnia deklarowana czlonkini PSL na licznych kandydaturach. Z 3 posad w rekordzie dwie to fotele w radach spolecznych szpitali, opisywane nawet w jej wlasnej biografii prasowej jako 'czlonek rady spolecznej': Szpital Specjalistyczny im. Sniadeckiego w Nowym Saczu (KRS 0000029409, 2024-12-23-nadal) i 5 Wojskowy Szpital Kliniczny w Krakowie (KRS 0000032272, 2018-2021) - obie wykluczone pulapka 1 (zywy odpis nowosadeckiego szpitala, rejestr S, pobrany 2026-09-05, wprost nazywa organ 'RADA SPOLECZNA', a dopasowanie dlugosci zanonimizowanego nazwiska sie zgadza). Jedyne prawdziwe, niesupervisyjne stanowisko to Zarzad Malopolskiej Organizacji Turystycznej (KRS 0000053654, stowarzyszenie, is_public_raw=true), ale tylko przez 4 miesiace w 2019 r. (2019-03-01-2019-07-05), szesc lat temu, i bez zadnego niezaleznego potwierdzenia prasowego - wlasne opublikowane sklady zarzadu MOT za 2019 wymieniaja Grzegorza Biedronia jako prezesa i inny sklad, nie Nowogorska, choc zmiany skladu w trakcie roku sa mozliwe. | ZRODLO: https://pl.wikipedia.org/wiki/Urszula_Nowogorska; https://www.wnp.pl/polityka-i-sondaze/osoba/urszula-nowogorska,194405.html; zywy odpis KRS aktualny, rejestr S, KRS 0000029409, pobrany 2026-09-05.","3 posady. 2 to fotele w radach spolecznych szpitali (1 aktualny od grudnia 2024, potwierdzony na zywo; 1 zakonczony w 2021) - obie wykluczone pulapka 1. 1 prawdziwe stanowisko w Zarzadzie publicznego stowarzyszenia (MOT), tylko 4 miesiace w 2019 r., dawno zakonczone i niepotwierdzone prasowo.","verdict=maybe || TEZA: Dwukadencyjna poslanka PSL i byla przewodniczaca malopolskiego sejmiku ma w rekordzie tylko wykluczone fotele w radach spolecznych szpitali, a jedyne prawdziwe stanowisko - czteromiesieczny epizod w zarzadzie organizacji turystycznej w 2019 r. - nie ma zadnego niezaleznego potwierdzenia prasowego. || UWAGA: Tozsamosc silna (dopasowanie dlugosci nazwiska w zywym KRS plus wlasna biografia prasowa potwierdzajaca czlonkostwo w radzie spolecznej tego samego szpitala), ale nalezy sprawdzic archiwalne sklady zarzadu/BIP MOT z marca-lipca 2019, zanim zdecyduje sie, czy ten epizod wystarcza do publikacji - bez potwierdzenia powinno przejsc do skip."
31,Zbigniew Jan Ziemba,publish,"Wicemarszalek Wojewodztwa Lodzkiego (PiS) od 22.11.2018 do 2024 r. (czesc zarzadu wojewodztwa uformowanego po wyborach regionalnych 2018, gdzie zdobyl mandat sejmikowy z 30 021 glosami), obecnie Przewodniczacy Zarzadu PiS okregu piotrkowskiego wedlug wlasnej strony partii. Aktywny w PiS od 2004 r., wczesniej wicestarosta piotrkowski (2006-2011) i radny powiatowy (WYBRANY 2010). Rownolegle z kadencja wicemarszalka zasiadal w Radzie Nadzorczej Zakladu Wodociagow i Kanalizacji 'WOD.-KAN.' w Belchatowie (KRS 0000109360, spolka Gminy Belchatow, potwierdzona publiczna) od 2020-02-27 do 2024-07-03 - mandat wygasl okolo dwoch miesiecy po objeciu urzedu przez nowego, nie-PiS-owskiego prezydenta Belchatowa. Krotko zasiadal tez w radzie spolecznej belchatowskiego szpitala wojewodzkiego (KRS 0000006103, 2024-03-06-2024-10-24) - to wykluczone pulapka 1, ale koniec mandatu wpisuje sie w ten sam powyborczy kalendarz. | ZRODLO: https://pl.wikipedia.org/wiki/Zbigniew_Ziemba; https://pis.org.pl/osoba/zbigniew_ziemba/; zywy odpis KRS OdpisPelny, KRS 0000109360, pobrany 2026-09-05.","2 posady, obie juz zakonczone. WOD-KAN Belchatow, Rada Nadzorcza (prawdziwa, publiczna, 2020-02-27-2024-07-03). Szpital Wojewodzki w Belchatowie, rada spoleczna (wykluczona pulapka 1, 2024-03-06-2024-10-24). Zadne stanowisko nie jest juz aktywne.","verdict=publish || TEZA: Wicemarszalek wojewodztwa lodzkiego z PiS (2018-2024) zasiadal w radzie nadzorczej belchatowskiej spolki wodociagowej przez cala swoja kadencje, tracac fotel dwa miesiace po utracie wladzy przez PiS w regionie. || UWAGA: Niezalezny weryfikator potwierdzil polaczenie, tozsamosc (dopasowanie w zywym OdpisPelny KRS 0000109360: dlugosc i pierwsze litery nazwiska/imion, PESEL zgodny z rokiem urodzenia, daty wpisu i wykreslenia co do dnia) i publiczny charakter spolki (Miasto Belchatow jako wspolnik), nie znajdujac podstaw do odrzucenia - ale skorygowal przyczynowosc w tezie: WOD-KAN to spolka Miasta Belchatow, nie wojewodztwa, wiec bardziej prawdopodobnym mechanizmem jest przegrana belchatowskiego prezydenta powiazanego z PiS (Mariola Czechowska) w wyborach lokalnych 2024 i zaprzysiezenie nowego prezydenta Patryka Marjana 7 maja 2024 - niemal dokladnie dwa miesiace przed wykresleniem mandatu 3 lipca 2024 - a nie zmiana marszalka wojewodztwa (Joanna Skrzydlewska objela urzad dopiero 11 czerwca 2024, tylko 3 tygodnie przed wykresleniem, co pasuje gorzej czasowo). Naglowek/teze nalezy przeformulowac, wskazujac lokalna (miejska) zmiane wladzy jako glowny mechanizm, z regionalna zmiana PiS-KO jako kontekstem rownoleglym, nie przyczyna."
32,Szymon Edward Zyberyng,publish,"Radny powiatu radomszczanskiego (PiS), z potwierdzonym mandatem radnego powiatowego w kadencji 2018-2023 (dieta radnego powiatowego widoczna w dochodach za 2022 r.) oraz wygrana WYBRANY w kandydaturach samorzadowych 2024. Opisany przez prase (Radomszczanska.pl, 28.09.2023, przedruk z 'Pisowskiej listy plac' Gazety Wyborczej) wprost jako 'zaufany wspolpracownik poslanki Anny Milczanowskiej' (PiS, poslanka na Sejm z okregu piotrkowskiego), z zestawieniem dochodow za 2022 r. obejmujacym wynagrodzenie z rady nadzorczej (37 467 zl) i diete radnego powiatowego (29 375 zl). Od 2007 do 2025 r. przeszedl przez 6 odrebnych fotelii w radach nadzorczych spolek komunalnych (Wodociagi Miejskie w Radomiu 2007-2012; Przedsiebiorstwo Gospodarki Komunalnej 2007; Zaklad Gospodarki Cieplowniczej w Tomaszowie Maz. 2015-2020 jako przewodniczacy z nominacji PiS, potem ponownie od 2025-05-29 do dzis; Zaklad Gospodarki Wodno-Kanalizacyjnej w Tomaszowie Maz. 2020-2025; Inwestycje Medyczne Lodzkiego 2019-2022; Tomaszowskie Centrum Zdrowia 2020) - zadna z tych spolek nie jest rada spoleczna (to spolki komunalne, nie SPZOZ), wiec pulapka 1 nie ma zastosowania; wszystkie sa prawdziwie publiczne. Pierwsze powolanie do ZGC w lutym 2015 opisal Nasz Tomaszow pod naglowkiem 'Kolejna tomaszowska spolka upartyjniona', a jego zona Lucyna Zyberyng zostala w lutym 2016 prezesem TTBS, co ten sam portal opisal wprost jako zone 'dzialacza PiS z Radomska' - udokumentowana wiez rodzinna wzmacniajaca te sama siec polityczna. Obecny fotel w ZGC (od 2025-05-29) potwierdzony na zywo w KRS pobranym 2026-09-05, gdzie zanonimizowane nazwisko pasuje dlugoscia dokladnie do 'Zyberyng'/'Szymon'/'Edward'. | ZRODLO: https://radomszczanska.pl/artykul/powiatowi-radni-szymon/1182878; https://www.nasztomaszow.pl/wiadomosci/12348,kolejna-tomaszowska-spolka-upartyjniona; https://www.nasztomaszow.pl/wiadomosci/9141,ttbs-ma-nowa-prezes-zone-dzialacza-pis-z-radomska; http://wybory.pis.org.pl/kandydaci/lodzkie/i,123727; zywy odpis KRS aktualny, rejestr P, KRS 0000137016, pobrany 2026-09-05.","7 posad w 6 spolkach, zadna rada spoleczna (to spolki komunalne, nie SPZOZ - pulapka 1 nie dotyczy). 1 aktualna: ZGC Tomaszow Mazowiecki, Rada Nadzorcza od 2025-05-29, potwierdzona na zywo. Pozostale 5 zakonczone w latach 2007-2025.","verdict=publish || TEZA: Radomszczanski radny powiatowy PiS i nazwany z imienia i nazwiska 'zaufany wspolpracownik' poslanki Anny Milczanowskiej przewinal sie przez szesc stanowisk w radach nadzorczych spolek komunalnych od 2007 r., wracajac do zarzadu tomaszowskiej cieplowni w maju 2025 po tym, jak prasa w 2019 r. okreslila jego pierwsze powolanie tam mianem 'upartyjnienia'. || UWAGA: Niezalezny weryfikator potwierdzil polaczenie, tozsamosc (dwa niezalezne artykuly Nasz Tomaszow plus zywy KRS z dopasowaniem dlugosci nazwiska) i brak zastosowania pulapki 1, nie znajdujac podstaw do odrzucenia - ale ustalil, ze twierdzenie 'czlonek zarzadu PiS okregu nr 10' nie ma pokrycia w zadnym z podanych zrodel (jedyne zrodlo, ktore moglo je potwierdzic, wybory.pis.org.pl, pokazuje zamiast tego 'Okreg nr: 5' i nie wspomina o zadnym stanowisku w zarzadzie okregu), wiec ta klauzula zostala usunieta z opisu. Osobno: kandydat do sejmiku lodzkiego z 2024 r. 'ZYBERYNG Konrad Szymon' ma inne drugie imie niz rekord tej osoby ('Szymon Edward') - prawdopodobnie krewny (mozliwe, ze syn), nie ta sama osoba; nie mieszac obu kandydatur na stronie."
33,Mirosław Duży,publish,"Starosta mikołowski (kadencja 2024-2029), wybrany w 2024 w wyborach samorządowych z listy KKW Koalicja Obywatelska (partia PO); PKW-deklaracje z 2019 i 2023 (kandydatury na posła) potwierdzają członkostwo w Platformie Obywatelskiej RP; wcześniej burmistrz Łazisk Górnych 2006-2010 i wielokrotny radny powiatu mikołowskiego (WYBRANY 2010, WYBRANY 2002). | ZRODLO: https://powiatmikolowski.esesja.pl/radny/132378/miroslawaduzy.htm; https://www.portalsamorzadowy.pl/osoba/miroslaw-duzy,14305.html; kandydatury rows ('2024 Samorząd KKW Koalicja Obywatelska partia: PO WYBRANY', '2019 Sejm PKW-deklaracja: członek partii politycznej Platforma Obywatelska RP'); https://www.rp.pl/polityka/art44896911 (AI-summarized fetch only, figures unverified, direct re-check returned 404); live KRS API odpisy dla KRS 0000042922 i 0000219629, pulled 2026-09-05.","6 posady rows total. 2 genuinely current, confirmed live against the KRS API on 2026-09-05: Rada Nadzorcza @ Fundusz Górnośląski (since 2024-07-24, three months after his 2024 reelection) and Rada Nadzorcza @ Rejonowe Przedsiębiorstwo Wodociągów i Kanalizacji w Tychach (reappointed 2025-08-29, after an earlier 2019-2024 stint). 1 further 'nadal' row excluded as rada spoleczna (Ośrodek Terapii Nerwic dla Dzieci i Młodzieży, an SPZOZ). 3 remaining posts already ended (Przedsiębiorstwo Energetyki Cieplnej RN 2002-2011; PGKiM Łaziska Zarząd 2011-2019; Śląskie Centrum Reumatologii RN 2014-2019).","verdict=publish || TEZA: Starosta mikołowski Mirosław Duży (PO), reelected in 2024, sits concurrently on two public-company supervisory boards - Fundusz Górnośląski (from three months after his reelection) and the Tychy waterworks - on top of a long local-government career, with a regional press piece naming him among Śląskie politicians whose board seats (and his wife's) drew scrutiny. || UWAGA: Identity is strong - masked KRS entries match surname/imię/imię-drugie letter counts and PESEL decade across two independent, live filings, and a press bio independently corroborates his career and one of the same KRS numbers. The rp.pl financial figure (~131,000 zł/rok) and wife Joanna Duży's board-seat detail rest only on an AI-summarized fetch and could not be confirmed directly (the article now 404s) - omit or flag as unverified rather than publish verbatim. A verifier checked the connection, identity, currency and public-ownership claims independently against live sources and found no grounds to kill the page, correcting only that one unverifiable financial detail."
34,Marek Wojciech Michalik,publish,"Radny Łodzi (kadencja 2024-2029), wybrany w 2024 z listy KW Prawo i Sprawiedliwość (partia PiS); PKW-deklaracja 2023 potwierdza członkostwo w PiS; członkiem PiS od 2009, przewodniczący klubu radnych PiS w Radzie Miejskiej Łodzi 2010-2016; wcześniej wiceprezydent Łodzi 2003-2008 (nominacja polityczna) i podsekretarz stanu w Ministerstwie Środowiska 1998-2001. | ZRODLO: https://pl.wikipedia.org/wiki/Marek_Michalik; kandydatury rows ('2024 Samorząd KW Prawo i Sprawiedliwość partia: PiS WYBRANY', '2023 Sejm PKW-deklaracja: członek partii politycznej Prawo i Sprawiedliwość'); https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,kgp~p_22_011_202204121155571649757357~id1~01,typ,kj.pdf (NIK, text not machine-extractable); https://wiadomosci-lodz.pl/lodzka-specjalna-strefa-ekonomiczna-bedzie-miala-nowy-zarzad-poprzedni-zostal-odwolany,31398/.","4 posady rows, all ended as of the September 2026 export (latest end date 2024-12-12) - zero currently active public-company posts. Zarząd (Prezes) @ Łódzka Specjalna Strefa Ekonomiczna S.A., 2016-05-31 to 2024-07-03: ran the state-owned economic zone for the entire span of the 2015-2023 PiS national government, recalled by a new supervisory board in April 2024, months after the Tusk-coalition took power. Rada Nadzorcza @ Strefa Edukacji, 2023-12-04 to 2024-08-30, ended in the same transition window. Rada Nadzorcza @ Wojewódzki Zespół Zakładów Opieki Zdrowotnej - Centrum Leczenia Chorób Płuc i Rehabilitacji w Łodzi excluded as rada spoleczna (an SPZOZ) despite the posady label. Zarząd @ Zakład Wodociągów i Kanalizacji, a brief 2003 stint.","verdict=publish || TEZA: Marek Wojciech Michalik, longtime PiS city-council-caucus chairman in Łódź and a currently sitting councilor re-elected in 2024, ran the state-owned Łódzka Specjalna Strefa Ekonomiczna as Prezes Zarządu for the entire 2015-2023 PiS government and lost the post within four months of the Tusk coalition taking power - though he currently holds zero active public-company posts. || UWAGA: All four company posts carry real end dates; this is a removed-appointee profile, not a live seat, and the operator should confirm the batch's bar accommodates that before publishing. A verifier independently confirmed the ŁSSE tenure and April-2024 recall via a dated press article and the live KRS odpis (Michalik no longer on the current Zarząd), re-checked all four KRS numbers for rada-spoleczna status (only the hospital seat qualifies, correctly excluded), and found no grounds to refute the page - the one gap is that the NIK PDF's text could not be machine-verified, immaterial since two other sources corroborate the same fact."
